City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
5,Atuona,PF,76.35,-9.8,-139.0333,Villa Enata
6,Dawei,MM,76.24,14.0833,98.2,Hotel Dawei
7,Puerto Ayora,EC,76.96,-0.7393,-90.3518,Finch Bay Galapagos Hotel
14,Butaritari,KI,81.23,3.0707,172.7902,Isles Sunset Lodge
17,Harper,LR,80.69,4.375,-7.7169,Screensaver
18,Port-Gentil,GA,80.56,-0.7193,8.7815,Fengshui Residence
23,Tamale,GH,85.51,9.4008,-0.8393,Tap Hotel
25,Qiongshan,CN,75.18,20.0058,110.3542,Sun City Restaurant
26,Hermanus,ZA,75.9,-34.4187,19.2345,Misty Waves Boutique Hotel
27,Victoria,HK,80.58,22.2855,114.1577,Mini Hotel Central
44,Porto Velho,BR,78.85,-8.7619,-63.9039,Hotel Central
49,Kita,ML,88.2,13.0349,-9.4895,Hôtel Chat Rouge
52,Hithadhoo,MV,81.46,-0.6,73.0833,Scoop Guest House
55,Hilo,US,81.28,19.7297,-155.09,Hilo Hawaiian Hotel
58,Teluk Intan,MY,75.56,4.0259,101.0213,Angsoka Hotel Teluk Intan
68,Vicuna,CL,77.77,-30.0319,-70.7081,Los Mosaicos
69,Ixtapa,MX,85.23,20.7,-105.2,Hotel Plaza Providencia
72,Sur,OM,81.5,22.5667,59.5289,Sur Plaza Hotel
77,Hirara,JP,79.03,24.8,125.2833,Hotel Atoll Emerald Miyakojima
82,San Patricio,US,85.87,28.017,-97.5169,"Motel 6 Sinton, TX"
83,Bhadasar,IN,82.76,28.2833,74.3167,OMPRAKASH JAKHAR
86,Copperas Cove,US,78.55,31.1241,-97.9031,Super 8 by Wyndham Copperas Cove
89,Viedma,AR,85.48,-40.8135,-62.9967,Hotel Cristal
90,Itarema,BR,87.84,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
91,Havelock,US,78.06,34.8791,-76.9013,Sherwood Motel
92,Trelew,AR,88.97,-43.249,-65.3051,Hotel Touring Club
104,Batticaloa,LK,81.45,7.7102,81.6924,Grand Star Guest House
105,Pyapon,MM,76.42,16.2833,95.6833,Aung Naing Thu Motel
110,Dezful,IR,78.96,32.3811,48.4058,سالن پیرایش امید
118,Tabou,CI,80.55,4.423,-7.3528,hotêl doufoulougou
120,Atambua,ID,76.77,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
128,San Cristobal,VE,78.98,7.7669,-72.225,Posada Villaven C.A.
131,Georgetown,MY,76.98,5.4112,100.3354,Cititel Penang
136,Port Washington,US,76.01,40.8257,-73.6982,The Andrew Hotel
143,Weligama,LK,77.85,5.9667,80.4167,Weligama Bay Resort
144,Jaruco,CU,83.43,23.0431,-82.0108,Ruinas Hotel Escaleras de Jaruco
147,Samarai,PG,81.23,-10.6167,150.6667,Nuli Sapi
148,Bara,NG,84.7,10.3744,10.7288,
155,Puerto Madryn,AR,80.17,-42.7692,-65.0385,Hotel Tolosa
161,Bonthe,SL,82.94,7.5264,-12.505,Bonthe Holiday Village
162,Carlagan,PH,81.45,14.975,122.0456,Cabatagan Island
169,Buraydah,SA,88.25,26.326,43.975,فندق راحة السلام
174,Marzuq,YE,77.52,14.4,46.4667,
177,Puerto Del Rosario,ES,78.48,28.5004,-13.8627,Hotel JM Puerto del Rosario
178,Puerto Madero,MX,82.33,14.7208,-92.4215,Hotel La Central
179,Callaguip,PH,79.72,18.0714,120.4867,Pangil Beach Resort
180,Faanui,PF,79.2,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
182,Sinnamary,GF,84.33,5.3833,-52.95,ALETHEIA Appartement Sinnamary
183,Haimen,CN,75.09,23.1935,116.6142,Jinghao Business Hotel
184,Santarem,BR,89.73,-2.4431,-54.7083,Ecotur Lodge
188,Waingapu,ID,80.42,-9.6567,120.2641,Pondok Wisata Elim
193,Dingle,PH,76.23,10.9995,122.6711,SEGAYA PROPERTY
199,Kaduqli,SD,85.44,11.0167,29.7167,فندق الله جابو
201,Kulhudhuffushi,MV,81.54,6.6221,73.07,Haajy Guest House 1
204,Salalah,OM,77.34,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
209,Posse,BR,88.81,-14.0931,-46.3694,Pousada das Palmeiras
220,Resistencia,AR,85.08,-27.4606,-58.9839,Niyat Urban Hotel
223,Mpulungu,ZM,79.48,-8.7623,31.1141,Chela moche guest house
228,Anloga,GH,82.62,5.7947,0.8973,Pin Drop Hotel
231,Hambantota,LK,79.3,6.1241,81.1185,Bungalow 63
233,Rawson,AR,83.41,-43.3002,-65.1023,Hosteria Sampedro
234,Kavieng,PG,81.09,-2.5744,150.7967,Nusa Island Retreat
239,Quelimane,MZ,76.95,-17.8786,36.8883,Hotel Flamingo
240,Ternate,ID,80.69,0.8,127.4,Grand Dafam Bela Ternate
247,Manggar,ID,79.84,-2.8833,108.2667,Guest Hotel
248,Thinadhoo,MV,82.2,0.5333,72.9333,
250,Davila,PH,79.9,18.4726,120.5763,Blue Ridge Beach Resort
254,Seminole,US,85.98,28.7086,-81.2081,Ono Hot Dog Cart and Catering
263,Ponta Do Sol,PT,80.71,32.6667,-17.1,Hotel do Campo
264,Malakal,SS,78.4,9.5334,31.6605,Nile Palace Hotel
265,Padang,ID,75.25,-0.9492,100.3543,Mercure Padang
268,Srivardhan,IN,77.56,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
270,Labuhan,ID,80.4,-6.8844,112.2051,PT PPI Lamongan Tambak C
273,Lere,NG,76.62,10.387,8.5726,
278,Comodoro Rivadavia,AR,82.26,-45.8667,-67.5,Austral Hotel
285,Faranah,GN,76.39,10.0404,-10.7434,Chez mon oncle
289,Isangel,VU,75.22,-19.55,169.2667,Tanna Lodge
294,Pedernales,DO,85.21,18.0384,-71.744,Hotel Costa Marina
295,Bethalto,US,75.15,38.9092,-90.0407,Town & Country Lakes
299,Omboue,GA,77.59,-1.5746,9.2618,Hotel Olako
302,Binga,ZW,79.02,-17.6203,27.3414,Lakeview Inn Binga
303,Alta Floresta,BR,88.95,-9.8756,-56.0861,Floresta Amazonica Hotel
306,Veraval,IN,79.34,20.9,70.3667,Lords Inn Somnath
320,Mount Isa,AU,76.77,-20.7333,139.5,ibis Styles Mt Isa Verona
321,Nawa,IN,76.8,27.0167,75.0,"Sambharia Bhawan,Kuchaman Road,Nawa City"
322,Bintulu,MY,75.61,3.1667,113.0333,900 Boutique INN
332,Soledad,CO,86.13,10.9184,-74.7646,Cochi y Cocho
336,Cabo San Lucas,MX,84.61,22.8909,-109.9124,Hotel Tesoro Los Cabos
338,Tayoltita,MX,81.77,24.0833,-105.9333,Hotel Rivera Tayoltita
339,Mana,GF,86.09,5.6592,-53.7767,LE SAMANA
341,Akyab,MM,79.27,20.15,92.9,Hotel Memory
346,Cockburn Town,TC,82.29,21.4612,-71.1419,Osprey Beach Hotel
348,Fairview,US,75.65,40.8126,-73.999,Homewood Suites by Hilton Edgewater-NYC Area
349,Sabang,ID,81.63,5.8933,95.3214,Hotel Citra
350,Carutapera,BR,86.68,-1.195,-46.02,Lidera
354,Vaitape,PF,79.25,-16.5167,-151.75,Conrad Bora Bora Nui
355,Wattegama,LK,76.59,6.7989,81.4808,
363,Minbu,MM,76.84,20.1833,94.8833,Pan Tha Tin Guest House - Burmese Only
366,Rio De Jesus,PA,83.61,7.9844,-81.1631,Parador fotografico Rio de Jesus
371,Sal Rei,CV,86.2,16.1833,-22.9167,Marine Club Beach Resort
373,Touros,BR,88.7,-5.1989,-35.4608,INN NEW HORIZON
374,Wyndham,US,76.32,37.6985,-77.6125,Hilton Richmond Hotel & Spa/Short Pump
375,Bathsheba,BB,86.61,13.2167,-59.5167,Atlantis Hotel
382,San Vicente,AR,79.57,-26.6167,-54.1333,Complejo Turístico Farelluk
383,Aitape,PG,77.61,-3.1374,142.3475,
385,Panglao,PH,82.09,9.5781,123.7458,Panglao Regents Park Resort
389,Trat,TH,81.99,12.5,102.5,สวนหนิง-อัศ
390,Sao Filipe,CV,83.55,14.8961,-24.4956,Hotel Xaguate
391,Kidodi,TZ,83.98,-7.6036,37.0044,Royal Family Lodge
393,Santa Cruz De La Palma,ES,82.54,28.6835,-17.7642,H10 Taburiente Playa
396,Hurghada,EG,80.64,27.2574,33.8129,Sea Star Beau Rivage Hotel
400,Hobyo,SO,78.82,5.3505,48.5268,Halane Hotel and Restaurent
401,George Town,MY,76.98,5.4112,100.3354,Cititel Penang
403,Thomaston,US,76.01,32.8882,-84.3266,Days Inn by Wyndham Thomaston
406,Gerash,IR,77.14,27.6652,54.1371,Sa'adat House
408,Mecca,SA,85.17,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
410,Teguise,ES,75.42,29.0605,-13.564,B&B La Casona de Nazaret
415,Ambon,ID,80.33,-3.6954,128.1814,Swiss-Belhotel Ambon
419,Brokopondo,SR,88.83,4.75,-55.1667,Matu Island
424,Bandarbeyla,SO,78.55,9.4942,50.8122,JABIR HOTEL
425,Marsh Harbour,BS,79.83,26.5412,-77.0636,Abaco Beach Resort
428,Chabahar,IR,79.25,25.2919,60.643,هتل گدروشیا
429,Panalingaan,PH,78.69,8.7842,117.4231,I Love Panalingaan View Deck
430,Luganville,VU,75.92,-15.5333,167.1667,The Espiritu Hotel
431,Turbat,PK,79.11,26.0023,63.044,Mubashar Quarters
436,Maracacume,BR,87.28,-2.0428,-45.9592,Hotel Ramos
442,Talavera,PH,75.04,15.6167,120.9333,R&G's Resort
448,Lepe,ES,77.11,37.2548,-7.2043,Hotel La Barca
450,Dzaoudzi,YT,78.69,-12.7887,45.2699,Le Rocher
452,Namatanai,PG,78.73,-3.6667,152.4333,Seagulls Inn Namatani
456,Los Llanos De Aridane,ES,78.55,28.6585,-17.9182,Valle Aridane
463,Nuevo Progreso,MX,86.9,23.1667,-97.95,Balneario Rio el Paraiso
467,Buala,SB,79.3,-8.145,159.5921,Maringe Lagoon Lodge
471,Mayumba,GA,76.86,-3.432,10.6554,LIKWALE LODGE
474,Domoni,KM,77.81,-12.2569,44.5319,Al Djadid
476,Lubango,AO,78.66,-14.9172,13.4925,Hotel Serra da Chela
477,Lucea,JM,85.86,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
478,Kirakira,SB,79.12,-10.4544,161.9205,SanBiz Lodge
481,Jalu,LY,77.27,29.0331,21.5482,صاحبة الفخامة
485,Mufumbwe,ZM,77.63,-13.6833,24.8,
489,Morant Bay,JM,89.22,17.8815,-76.4093,Whispering Bamboo Cove Resort
490,Amahai,ID,77.85,-3.3333,128.9167,HOTEL ISABELA
495,Honiara,SB,77.88,-9.4333,159.95,Heritage Park Hotel
498,Buchanan,LR,85.96,5.8808,-10.0467,Kamaneahn Hotel Inc
507,Warri,NG,79.45,5.5167,5.75,BON Hotel Delta
509,Sai Buri,TH,77.79,6.7013,101.6168,ร้าน​ เวดดิ้ง
511,Buritizeiro,BR,88.79,-17.3511,-44.9622,Santos Palace Hotel
517,Palatka,US,84.07,29.6486,-81.6376,"Holiday Inn Express & Suites Palatka Northwest, an IHG Hotel"
523,Fuengirola,ES,76.35,36.54,-4.6247,Hotel Las Palmeras
526,Cabra,ES,83.64,37.4725,-4.4421,MS Fuente Las Piedras
532,Mazatlan,MX,87.03,23.2167,-106.4167,Hotel Playamar
534,Merauke,ID,78.93,-8.4667,140.3333,
535,Sakakah,SA,80.17,29.9697,40.2064,Fakhamat Al Orjoana Apartment
538,Awbari,LY,81.45,26.5921,12.7805,فندق أوباري
542,Alice Springs,AU,78.35,-23.7,133.8833,Desert Palms Alice Springs
547,Sitangkai,PH,83.59,4.6628,119.3928,Ama House
548,Mpanda,TZ,79.03,-6.3655,31.0409,CH Hotel - Mpanda
549,Aquiraz,BR,89.22,-3.9014,-38.3911,Pousada Rua Camurupim
551,Ejura,GH,82.0,7.3856,-1.3562,Fire Servece
554,Filadelfia,US,76.55,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
557,Belmonte,BR,86.5,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
561,Sterling,US,76.1,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
564,Lafiagi,NG,81.43,8.8667,5.4167,Bus group international
570,Ascension,US,84.99,30.2169,-90.9001,Highland Inn
576,Toamasina,MG,75.2,-18.1667,49.3833,Hotel H1
577,Kavaratti,IN,82.22,10.5669,72.642,Hotels in Lakshadweep Islands
578,Nauta,PE,86.25,-4.5061,-73.5757,Amazon Exploring Expedition - Eretzen Tá Lodge
584,Kununurra,AU,82.38,-15.7667,128.7333,Hotel Kununurra
588,Ishigaki,JP,79.09,24.3448,124.1572,Hotel Peace Land Ishigakijima
589,Mlonggo,ID,79.52,-6.5333,110.7,Asia Metal Art
598,Port Blair,IN,81.09,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
601,Isaka,TZ,80.87,-3.9,32.9333,SUBMARINE HOTELS LTD
603,Mayo,US,77.2,38.8876,-76.5119,Resorts Resource Group International
604,Bondoukou,CI,78.46,8.0333,-2.8,Prestige Hotel
611,Cabedelo,BR,88.47,-6.9811,-34.8339,Hotel Pigalle
613,Matamoros,MX,78.12,25.5333,-103.25,Quinta Belem
616,Asyut,EG,78.98,27.181,31.1837,Florence Hotel Assiut
619,Acarau,BR,86.52,-2.8856,-40.12,castelo pizzaria
626,Sorong,ID,80.51,-0.8833,131.25,waigo splash hotel
627,Maningrida,AU,78.12,-12.0667,134.2667,Dhukurrdji Lodge
630,Behbahan,IR,85.32,30.5959,50.2417,شهرکدامداران ماهشهر
634,Mastic Beach,US,75.25,40.7668,-72.8521,Brushwood House by Smith Point Beach
636,Manuk Mangkaw,PH,83.53,4.8,119.85,
639,Kuching,MY,77.22,1.55,110.3333,The Ranee Boutique Suites
641,Tiznit,MA,80.47,29.5833,-9.5,
644,Denpasar,ID,82.06,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
646,Sumenep,ID,83.01,-7.0167,113.8667,OYO 3271 Homestay Pandian
656,Meulaboh,ID,75.92,4.1363,96.1285,Kost Pria
660,Diamantino,BR,89.92,-14.4086,-56.4461,Hotel Delta
663,Nouadhibou,MR,78.78,20.931,-17.0347,El Medina
664,Bandrele,YT,78.55,-12.9067,45.1914,Les Baobabs
668,Axim,GH,80.56,4.8699,-2.2405,Axim Beach Resort And Spa
670,Rey Bouba,CM,80.83,8.6724,14.1786,
671,Nicolas Bravo,MX,83.46,18.45,-88.9167,
676,Clearwater,US,85.21,27.9659,-82.8001,Shephard's Beach Resort
679,Vanimo,PG,77.18,-2.6741,141.3028,Vahmoneh Lodge Vanimo
680,Jizan,SA,88.74,17.3333,42.6667,شهدان. ابوالحجر
685,San Luis,AR,81.54,-33.295,-66.3356,Huarpes Hotel
687,Gamba,GA,76.82,-2.65,10.0,
691,Manokwari,ID,78.46,-0.8667,134.0833,Swiss Belhotel Manokwari
693,Kudahuvadhoo,MV,83.07,2.6708,72.8944,Niyama Private Islands Maldives
694,Soure,BR,85.51,-0.7167,-48.5233,Casarão da Amazônia
695,Bima,ID,78.93,-8.4667,118.7167,Lambitu Hotel
696,Paita,PE,75.76,-5.0892,-81.1144,Hotel Náutico de Paita
